"Id","DisplayName","StandardName"
"Transbaikal Standard Time","(UTC+09:00) Chita","Transbaikal Standard Time"
"Tokyo Standard Time","(UTC+09:00) Osaka, Sapporo, Tokyo","Tokyo Standard Time"
"North Korea Standard Time","(UTC+09:00) Pyongyang","North Korea Standard Time"
"Korea Standard Time","(UTC+09:00) Seoul","Korea Standard Time"
"Yakutsk Standard Time","(UTC+09:00) Yakutsk","Russia TZ 8 Standard Time"
"Cen. Australia Standard Time","(UTC+09:30) Adelaide","Cen. Australia Standard Time"
"AUS Central Standard Time","(UTC+09:30) Darwin","AUS Central Standard Time"
"E. Australia Standard Time","(UTC+10:00) Brisbane","E. Australia Standard Time"
"AUS Eastern Standard Time","(UTC+10:00) Canberra, Melbourne, Sydney","AUS Eastern Standard Time"
"West Pacific Standard Time","(UTC+10:00) Guam, Port Moresby","West Pacific Standard Time"
"Tasmania Standard Time","(UTC+10:00) Hobart","Tasmania Standard Time"
"Vladivostok Standard Time","(UTC+10:00) Vladivostok","Russia TZ 9 Standard Time"
"Lord Howe Standard Time","(UTC+10:30) Lord Howe Island","Lord Howe Standard Time"
"Bougainville Standard Time","(UTC+11:00) Bougainville Island","Bougainville Standard Time"
"Russia Time Zone 10","(UTC+11:00) Chokurdakh","Russia TZ 10 Standard Time"
"Magadan Standard Time","(UTC+11:00) Magadan","Magadan Standard Time"
"Norfolk Standard Time","(UTC+11:00) Norfolk Island","Norfolk Standard Time"
"Sakhalin Standard Time","(UTC+11:00) Sakhalin","Sakhalin Standard Time"
"Central Pacific Standard Time","(UTC+11:00) Solomon Is., New Caledonia","Central Pacific Standard Time"
"Russia Time Zone 11","(UTC+12:00) Anadyr, Petropavlovsk-Kamchatsky","Russia TZ 11 Standard Time"
"New Zealand Standard Time","(UTC+12:00) Auckland, Wellington","New Zealand Standard Time"
"UTC+12","(UTC+12:00) Coordinated Universal Time+12","UTC+12"
"Fiji Standard Time","(UTC+12:00) Fiji","Fiji Standard Time"
"Kamchatka Standard Time","(UTC+12:00) Petropavlovsk-Kamchatsky - Old","Kamchatka Standard Time"
"Chatham Islands Standard Time","(UTC+12:45) Chatham Islands","Chatham Islands Standard Time"
"UTC+13","(UTC+13:00) Coordinated Universal Time+13","UTC+13"
"Tonga Standard Time","(UTC+13:00) Nuku'alofa","Tonga Standard Time"
"Samoa Standard Time","(UTC+13:00) Samoa","Samoa Standard Time"
"Line Islands Standard Time","(UTC+14:00) Kiritimati Island","Line Islands Standard Time"
